NO2,SO2,CO,O3,Aerosol_Index,location
0.000100435,-0.000498351,0.043137275,0.129190564,0.088524982,"Anand Vihar, Delhi"
0.000114332,0.000598802,0.041198494,0.122247525,0.239600539,"Anand Vihar, Delhi"
0.000139545,0.000307776,0.052228569,0.12179675,-0.414261907,"Anand Vihar, Delhi"
7.16e-05,-0.000579158,0.049456348500000004,0.121292271,0.289922614,"Anand Vihar, Delhi"
8.941733333333334e-05,-0.00028995766666666667,0.046684128000000005,0.12276217866666667,0.3457325723333333,"Anand Vihar, Delhi"
0.00010723466666666666,-7.573333333333676e-07,0.0439119075,0.12423208633333334,0.4015425306666667,"Anand Vihar, Delhi"
0.000125052,0.000288443,0.041139687,0.125701994,0.457352489,"Anand Vihar, Delhi"
0.000137693,0.000100739,0.044352908,0.124598473,0.163478896,"Anand Vihar, Delhi"
6.15e-05,-0.000246466,0.0398427665,0.124063596,-0.699171007,"Anand Vihar, Delhi"
4.74e-05,-0.000212391,0.035332625,0.125639588,1.051749706,"Anand Vihar, Delhi"
7.5354e-05,0.00011750750000000002,0.03664589866666667,0.1274649055,0.10898354649999997,"Anand Vihar, Delhi"
0.000103308,0.000447406,0.03795917233333333,0.129290223,-0.833782613,"Anand Vihar, Delhi"
0.00011261149999999999,0.0003047525,0.039272446,0.128738716,-0.7273497879999999,"Anand Vihar, Delhi"
0.000121915,0.000162099,0.041444527,0.128187209,-0.620916963,"Anand Vihar, Delhi"
0.000118454,0.0001198495,0.041671752,0.12820339149999999,-0.834107357,"Anand Vihar, Delhi"
0.000114993,7.76e-05,0.041898977,0.128219574,-1.047297751,"Anand Vihar, Delhi"
9.79e-05,-0.000437079,0.040472292,0.12794283,-1.250806093,"Anand Vihar, Delhi"
8.36e-05,-5.83e-05,0.039500993,0.125823498,-1.320962548,"Anand Vihar, Delhi"
8.65e-05,-0.000641723,0.039158742999999996,0.126884907,-1.515315533,"Anand Vihar, Delhi"
8.62e-05,-0.000421782,0.038816493,0.12664962333333332,-1.080393764,"Anand Vihar, Delhi"
8.59e-05,-0.00020184100000000002,0.038474243000000005,0.12641433966666668,-0.6454719950000001,"Anand Vihar, Delhi"
8.56e-05,1.81e-05,0.038131993,0.126179056,-0.210550226,"Anand Vihar, Delhi"
0.000168004,-4.58e-05,0.041929517,0.127355203,-0.776826084,"Anand Vihar, Delhi"
7.64e-05,-2.72e-05,0.045912471,0.12638253,1.055319786,"Anand Vihar, Delhi"
7.98e-05,0.000395909,0.042405069,0.126274794,-0.585170269,"Anand Vihar, Delhi"
8.32e-05,0.00022813,0.043666641,0.128098498,-0.925456473,"Anand Vihar, Delhi"
9.93e-05,0.000148497,0.041219577,0.124977909,0.035162009,"Anand Vihar, Delhi"
9.47e-05,-4.247766666666666e-05,0.041430745,0.12500276666666665,0.4805135973333334,"Anand Vihar, Delhi"
9.010000000000001e-05,-0.00023345233333333333,0.041641913,0.12502762433333334,0.9258651856666668,"Anand Vihar, Delhi"
8.55e-05,-0.000424427,0.041853081,0.125052482,1.371216774,"Anand Vihar, Delhi"
9.172666666666666e-05,-0.00026504,0.043751699666666664,0.125812705,0.4933287700000001,"Anand Vihar, Delhi"
9.795333333333334e-05,-0.000105653,0.045650318333333335,0.126572928,-0.3845592339999999,"Anand Vihar, Delhi"
0.00010418,0.000487731,0.047548937,0.126982093,-1.262447238,"Anand Vihar, Delhi"
